Years,Aggregate household net worth ($),Agg_Black ($),Agg_Hispanic ($),Agg_White ($),Agg_Other ($),    Assets ($),Assets_Black ($),Assets_Hispanic ($),Assets_White ($),Assets_Other ($),Liabilities ($),Liabilities_Black ($),Liabilities_Hispanic ($),Liabilities_White ($),Liabilities_Other ($)
1979,9047811,,,,,10362394,,,,,1314583,,,,
1980,10276805,,,,,11717377,,,,,1440572,,,,
1981,11133849,,,,,12684541,,,,,1550692,,,,
1982,11933024,,,,,13557393,,,,,1624369,,,,
1983,12813350,,,,,14601510,,,,,1788160,,,,
1984,13839738,,,,,15847670,,,,,2007932,,,,
1985,15216103,,,,,17578291,,,,,2362188,,,,
1986,16779145,,,,,19406511,,,,,2627366,,,,
1987,17991776,,,,,20843159,,,,,2851383,,,,
1988,19644382,,,,,22781144,,,,,3136762,,,,
1989,20791845,807403,441985,18775499,766958,24016924,1000259,653274,21409000,954391,3225080,192856,211289,2633502,187433
1990,21466070,851586,475700,19226114,912670,24938603,1071435,704000,22049089,1114079,3472533,219849,228300,2822975,201409
1991,22931498,969547,475551,20450008,1036392,26596214,1205487,692368,23462042,1236317,3664716,235940,216817,3012034,199925
1992,24047429,1058961,463746,21412383,1112339,27901272,1301808,655734,24636503,1307227,3853843,242846,191989,3224120,194888
1993,25421338,1080157,452469,22775350,1113362,29524103,1345092,638573,26228853,1311585,4102765,264935,186104,3453504,198222
1994,26235729,1024444,462802,23633070,1115413,30660798,1315360,646868,27375648,1322922,4425069,290916,184065,3742579,207509
1995,30441845,1051142,491693,25858500,1144873,35544502,1367739,685680,29871589,1369939,5102657,316597,193986,4013089,217331
1996,30441845,1082280,564417,27687180,1107968,35544502,1408829,773427,32005402,1356844,5102657,326549,209010,4318222,248876
1997,33479062,1160301,717972,30466592,1134197,38918454,1486523,944866,35078171,1408894,5439394,326223,226894,4611579,274698
1998,37182144,1259504,826921,33933882,1161837,43051046,1611153,1080129,38900811,1458953,5868902,351650,253208,4966929,297115
1999,40926802,1330480,833288,37505417,1257617,47354900,1748338,1119044,42934300,1553218,6428099,417858,285757,5428883,295601
2000,43762222,1360154,883573,38535217,1305673,51372061,1855514,1196741,44435601,1605064,7609841,495360,313169,5900384,299390
2001,43762222,1475207,842788,40087759,1356468,51372061,2080347,1221088,46387087,1683539,7609841,605140,378301,6299329,327071
2002,43573819,1589853,950767,39685618,1347581,51937330,2248530,1396988,46533811,1758001,8363511,658678,446222,6848192,410419
2003,48305552,1886380,1097079,43753142,1568951,57738342,2616772,1639152,51372445,2109973,9432789,730391,542073,7619303,541022
2004,54792603,2176894,1363346,49152005,2100358,65354419,2973563,636980,57564214,2816316,10561814,796668,636980,8412208,715958
2008,57557971,2139195,1421111,50382465,3615200,71294401,3203034,2385133,60637289,5068945,13736432,1063840,964022,10254824,1453746
2005,60054872,2313964,1564574,53396649,2779685,71767975,3240356,2352113,62455400,3720106,11713103,926392,787539,9058751,940421
2009,58422809,2207742,1274240,51258758,3682069,71984258,3238534,2202348,61405819,5137557,13561449,1030792,928108,10147061,1455488
2010,62326225,2414807,1324630,54577297,4009491,75700965,3379646,2158981,64741262,5421076,13374738,964838,834351,10163964,1411585
2011,63219969,2418286,1242438,55536406,4022839,76463804,3393575,2032232,65629535,5408462,13243835,975289,789794,10093129,1385623
2006,64157667,2381060,1649228,56644258,3483121,77138336,3414625,2558478,66507020,4658213,12980670,1033565,909250,9862762,1175093
2007,65759875,2397768,1678488,57686428,3997191,79632421,3507726,2673768,68085383,5365544,13872547,1109958,995280,10398955,1368354
2012,67803290,2574092,1292947,59618823,4317428,80979097,3539611,2011055,69760167,5668264,13175807,965519,718108,10141344,1350836
2013,75783326,2925907,1426638,66298671,5132110,89201091,3974864,2177453,76557873,6490901,13417766,1048957,750816,10259202,1358791
2014,81458312,3272747,1875534,70700165,5609866,94986999,4365098,2671407,80897482,7053012,13528686,1092351,795872,10197317,1443146
2015,84354617,3515735,2301857,72478654,6058371,98055179,4681373,3181617,82585115,7607074,13700563,1165639,879760,10106461,1548703
2016,89070371,3805631,2649079,75888832,6726829,103165649,5067000,3621869,86069688,8407092,14095279,1261369,972791,10180855,1680264
2017,97226818,4190444,2706152,82243487,8086735,111855631,5508761,3725828,92727627,9893415,14628811,1318316,1019675,10484140,1806680
2018,97901466,4101374,2617983,82413666,8768443,112997802,5434878,3652516,93198264,10712144,15096338,1333505,1034533,10784598,1943702
2019,109976254,4434858,2572874,92563831,10404691,125571076,5768084,3619444,103714109,12469439,15594825,1333227,1046570,11150279,2064749
2020,124041707,5014001,2883371,104395136,11749199,140257761,6361748,3949508,116101943,13844562,16216053,1347747,1066137,11706807,2095362
2021,142185543,6315084,3566773,118870323,12957674,159625254,7792162,4741715,131397719,15693658,17439711,1477078,1174942,12527396,2260295
